"logFC","logCPM","LR","PValue","FDR","gene","avg_log2FC"
-0.839257976384785,12.1794745162453,48.8930303195095,2.70309574848002e-12,1.26920197427972e-08,"COL1A1",-0.839257976384785
1.57048003449265,9.33717043525571,48.1349604615311,3.97868957454459e-12,1.26920197427972e-08,"SAT1",1.57048003449265
1.66536537370298,9.05840813353779,38.9404548499139,4.36931455570923e-10,9.29207562180829e-07,"NAMPT",1.66536537370298
-1.255959687979,9.41583750653998,35.8514402369194,2.12950558518078e-09,3.39656140836334e-06,"STK39",-1.255959687979
1.47961217160605,9.15340361624457,31.6495401611172,1.84658316679793e-08,2.35624012083416e-05,"RANBP3L",1.47961217160605
1.15739685470211,9.21118761469991,29.9528526079813,4.42680150329343e-08,4.5401219164975e-05,"PIK3R3",1.15739685470211
-1.48337815810623,9.36682694618505,29.6440707874559,5.19111718845788e-08,4.5401219164975e-05,"MGP",-1.48337815810623
-1.39501291561603,9.0650167756455,29.4652123176354,5.69294284200313e-08,4.5401219164975e-05,"CPE",-1.39501291561603
2.83500574180419,9.17825145267022,28.9116995474777,7.57539671658333e-08,5.37011456131129e-05,"LRP1B",2.83500574180419
1.63632080264615,8.97759730536756,27.9667269208826,1.2341946335479e-07,7.87416176203562e-05,"LUCAT1",1.63632080264615
-1.0057975414938,8.98176224898361,27.1707917183703,1.86251338597058e-07,0.000108025776386293,"NCOA4",-1.0057975414938
-1.05535095647246,8.97877455818885,26.2899487006216,2.93813835302583e-07,0.00015053891689765,"DDOST",-1.05535095647246
-1.12917365610324,9.05684953505554,26.2067984098724,3.06740739760103e-07,0.00015053891689765,"TMTC3",-1.12917365610324
-1.10163010103024,9.04354600893116,25.7591873506789,3.86781429463773e-07,0.000176261822855634,"EMC3",-1.10163010103024
1.15772497056217,9.34406401042643,24.3303783691522,8.11491387795996e-07,0.000332738003625027,"PID1",1.15772497056217
1.10695961081385,8.94832663328924,24.2766324450962,8.34452673667779e-07,0.000332738003625027,"CLGN",1.10695961081385
-0.994233348592297,9.09561704139276,23.1300198183731,1.51408298282828e-06,0.000568226437084967,"ATAD1",-0.994233348592297
1.57133014392948,9.17109840317888,22.8899674209056,1.7154489283395e-06,0.000608031342378112,"CHI3L1",1.57133014392948
-0.959163073544353,9.01334134478961,21.2005609707217,4.13643426109988e-06,0.00137695996557685,"MFSD8",-0.959163073544353
-0.916229681690977,8.994388303377,21.1189039206985,4.31648892030359e-06,0.00137695996557685,"COPS3",-0.916229681690977
-0.944608813674108,9.08392561017027,21.0118282170064,4.56456650066835e-06,0.00138675877496496,"HNRNPL",-0.944608813674108
-0.96065151951978,9.07778204651384,20.7022510444011,5.36528908165866e-06,0.00155593383368101,"NUP42",-0.96065151951978
0.4587444102294,10.1479155492367,20.1504382007818,7.15838462039812e-06,0.00198567364687565,"SRRM2",0.4587444102294
-0.969116941986915,9.04019375412412,19.8098065587877,8.55426684910491e-06,0.00217506471510859,"MAGT1",-0.969116941986915
-1.11150941656001,9.32676303011862,19.7723202352895,8.72369305505764e-06,0.00217506471510859,"MT-CO1",-1.11150941656001
-0.919268719470458,8.9980911077596,19.7418474078614,8.86390009291902e-06,0.00217506471510859,"PNRC1",-0.919268719470458
-0.685702095775881,10.6105019539343,19.4638902367899,1.02519564243289e-05,0.00234464934686682,"PDE3A",-0.685702095775881
0.963723011042665,9.08888446513117,19.4568160643569,1.02899971335848e-05,0.00234464934686682,"LINC02256.1",0.963723011042665
-0.513686089932032,11.5567831136084,19.1583778669265,1.20308287464385e-05,0.00259401158298627,"COL3A1",-0.513686089932032
0.906746210879316,8.98188781924731,19.1078148621096,1.23538001675818e-05,0.00259401158298627,"OMG",0.906746210879316
-0.930798563610516,9.00347415631039,19.0695290295067,1.26041315160775e-05,0.00259401158298627,"CBX6",-0.930798563610516
-0.580789909984675,9.67300740685262,18.9969360816008,1.30928523214701e-05,0.00261038743159311,"CCSER2",-0.580789909984675
-1.77296118869539,8.99257685956118,18.934651230202,1.35273192962689e-05,0.00261330893364202,"BRINP3",-1.77296118869539
0.906103290591569,8.9832900243032,18.8791402715212,1.3926724724738e-05,0.00261330893364202,"COX18",0.906103290591569
-0.714397281255812,10.3556252053111,18.4359076478888,1.75715454029433e-05,0.00320304170487938,"VIM",-0.714397281255812
0.275244346040266,17.0709284258074,18.3133251532795,1.87391830909404e-05,0.00322402097791214,"MALAT1",0.275244346040266
-0.674415325373438,9.93781467911701,18.2808229286807,1.90616450802482e-05,0.00322402097791214,"MICAL2",-0.674415325373438
-0.892048285744593,9.00160159950567,18.2667853949628,1.92026327838027e-05,0.00322402097791214,"NBPF12",-0.892048285744593
-0.776585041379993,9.32290641586841,18.0922948318525,2.10451337244559e-05,0.00344276802979561,"PPP4R2",-0.776585041379993
-0.79804230549982,9.21970185434001,17.8761107158635,2.35762093095559e-05,0.00370208016502391,"SERBP1",-0.79804230549982
-0.991255627325855,9.36040588424059,17.8588681601705,2.3790797298743e-05,0.00370208016502391,"FRY",-0.991255627325855
-1.10402916463406,9.13844265716099,17.6194788023809,2.69810607815205e-05,0.00409855161395479,"BACH2",-1.10402916463406
-0.496577534606252,10.8567666252342,17.4386495175872,2.96730776972272e-05,0.00432685241747046,"DLC1",-0.496577534606252
-0.825544058160071,8.97409788818516,17.4279632140873,2.98403614997963e-05,0.00432685241747046,"ZHX1",-0.825544058160071
-0.805678903527416,9.62127096442268,16.5330093718264,4.78104587559186e-05,0.00663155908035917,"SOX6",-0.805678903527416
-0.729236481316942,9.26459009096921,16.4936041452812,4.88144636300493e-05,0.00663155908035917,"MAGED1",-0.729236481316942
0.77388506315877,8.95682049731766,16.4907355449429,4.88883751400144e-05,0.00663155908035917,"DMAP1",0.77388506315877
-0.857665571959094,9.05342374322955,16.4329607152982,5.04011755854792e-05,0.00663155908035917,"ZNF718",-0.857665571959094
0.662456451988223,9.3181769067506,16.413099252989,5.09320368240751e-05,0.00663155908035917,"ANKRD26",0.662456451988223
-0.833023835423343,9.40627266712292,16.2203196941248,5.63860593393241e-05,0.00719486117169775,"ME1",-0.833023835423343
-0.375032510583588,12.018166129817,15.8472710554036,6.86654877904594e-05,0.00857601251512364,"COL1A2",-0.375032510583588
-1.04275827276435,9.04314559712767,15.8135931787764,6.98985346060234e-05,0.00857601251512364,"H19",-1.04275827276435
-0.871307440326145,9.02398035019532,15.764684978624,7.17289803296416e-05,0.00863454517930403,"LDHB",-0.871307440326145
-0.903419128541782,9.09207727774694,15.6483082308965,7.62807893418526e-05,0.008987142180816,"MSMO1",-0.903419128541782
0.352376075020693,13.423088926223,15.6189232855654,7.74753636277242e-05,0.008987142180816,"NEAT1",0.352376075020693
0.794960634051251,9.41675553965654,15.5511142361938,8.03043050854164e-05,0.00912936246619027,"MLLT3",0.794960634051251
-1.0400476230711,8.97087969830981,15.5217064072165,8.15632696822642e-05,0.00912936246619027,"GUCY1A2",-1.0400476230711
-0.864684076868363,9.01340194368808,15.4807312928309,8.33506175316923e-05,0.00916856792848616,"SDHA",-0.864684076868363
0.796081770404504,9.09847801069045,15.3107433581001,9.11963841044289e-05,0.00986157509468231,"RNASEH2B",0.796081770404504
0.90120420950967,9.37776006898227,15.1542856677008,9.90731762752152e-05,0.0105347810772645,"MT2A",0.90120420950967
0.792569051239773,9.10042400217487,15.0846994018407,0.00010279309963709,0.0107511471423711,"PYGB",0.792569051239773
-0.884713039545259,9.10678377355744,14.9622847085579,0.00010968162140407,0.0110359357437383,"RPL32",-0.884713039545259
-0.818892847004211,9.03255755692635,14.9584982396688,0.000109901947186929,0.0110359357437383,"ORC4",-0.818892847004211
-0.706603265000017,9.42598348665714,14.9447562271092,0.000110705311535933,0.0110359357437383,"CNN3",-0.706603265000017
0.402802174231672,10.6533295479025,14.7394618984094,0.000123435508024805,0.0121156698645886,"CAMK2D",0.402802174231672
-0.760696703965179,9.15934474778919,14.702924778701,0.000125851042787816,0.0121656008028222,"WBP1L",-0.760696703965179
-1.000939467764,9.10559043648881,14.5383361106868,0.000137336238749771,0.012643144980693,"ACAN",-1.000939467764
-0.563354225771148,9.76523233748263,14.5344724141726,0.000137618170881161,0.012643144980693,"MDFIC",-0.563354225771148
0.476028446769981,9.69439328039354,14.5249752107807,0.000138313656505463,0.012643144980693,"ITFG1",0.476028446769981
-0.753787123806724,9.19706968123099,14.5135072156013,0.000139158182696128,0.012643144980693,"ITM2B",-0.753787123806724
0.782651792284732,8.97291874090719,14.4758446343659,0.000141968429100542,0.012643144980693,"RPAP1",0.782651792284732
-0.832748105599488,9.0244819110171,14.4664107053636,0.000142681259970203,0.012643144980693,"GTF2A1",-0.832748105599488
0.87105088514893,9.18593721283003,14.4332549429084,0.000145215233517841,0.0126914135595045,"ARL4C",0.87105088514893
-0.811273477505506,9.05658358340855,14.288445972574,0.000156824528534926,0.013162197660798,"KAT7",-0.811273477505506
-0.595452472103994,9.30414219992558,14.2792203913322,0.000157595053825045,0.013162197660798,"DHX15",-0.595452472103994
0.80853059296394,9.81576857889933,14.2560484911645,0.000159547239309899,0.013162197660798,"SNED1",0.80853059296394
-0.696721829825244,9.20153973094516,14.2265831554757,0.000162064849565364,0.013162197660798,"SPEN",-0.696721829825244
-0.783031964719173,9.08734894160457,14.2212724711685,0.000162522848269189,0.013162197660798,"CNOT10",-0.783031964719173
-1.01648540220488,9.02401568452565,14.2159844174827,0.000162980190470697,0.013162197660798,"LINC01479",-1.01648540220488
-0.829705491108491,9.03387320718823,14.1579367552262,0.000168086514727664,0.0132334133790804,"SMC3",-0.829705491108491
-1.26319425906536,9.06862526797045,14.1172478056944,0.000171761607625545,0.0132334133790804,"PLXNA4",-1.26319425906536
-1.10873364602787,9.22950889043025,14.1129687977505,0.000172152767522966,0.0132334133790804,"LAMA2",-1.10873364602787
0.846506551393663,9.21537587564955,14.0874472030774,0.00017450449643384,0.0132334133790804,"ANKS1B",0.846506551393663
